SLA_mean,height_mean,flowering_start 1-4,flowering_start 5-6,flowering_start 7-9,flowering duration,1000 S,"LF_Ph (MM, M)",LF_N,LF_Ch,LF_H,LF_G,LF_Th,LF_TH,LF_E,seed disp._AN,seed disp._RW,seed disp._AU,seed disp._ZO,pollination_INS,pollination_WIND,pollination_SELF,reprod_gen,reprod_veg
10.376,55,0,0,1,3,0.587,,,,,,0.5,0.5,,,,,1,1,,,1,
26.8315,70,0,1,0,4,2.985,,,,,,1,,,,,,1,,,1,1,
23.49766667,37.5,0,1,0,2,0.2633,,,,1,,,,,,,,1,,1,,0.67,0.33
26.79033333,40,0,1,0,2,0.7683,,,,1,,,,,,,,1,,1,,0.67,0.33
13.044,37.5,0,1,0,2,0.647,,,,1,,,,,,,,1,,1,,0.67,0.33
14.876,37.5,0,1,0,2,0.7683,,,,1,,,,,,,,1,,1,,0.67,0.33
12.228,45,0,1,0,2,0.847,,,,1,,,,,,,,1,0.5,0.5,,0.5,0.5
19.033,10,0,1,0,2,0.489,,,,1,,,,,,,,1,1,,,0.5,0.5
23.193,2000,1,0,0,2,34.2903,1,,,,,,,,1,,,,,1,,0.67,0.33
,,,,,,,,,,,,,,,,,,,,,,,
13.3005,20,0,1,0,3,3.5087,,1,,,,,,,1,,,,0.5,,0.5,1,
16.312,25,0,1,0,6,3.45,,,,,,1,,,,,,1,1,,,1,
19.253,17.5,1,0,0,2,1.339,,,,,1,,,,,,,1,,,1,0.5,0.5
17.839,7.5,1,0,0,2,1.339,,,,,1,,,,,,,1,,,1,0.5,0.5
27.923,57.5,0,1,0,6,7.0957,,,,,,1,,,,,,1,0.5,,0.5,1,
12.404,55,0,1,0,6,0.4177,,,,1,,,,,,,,1,1,,,0.5,0.5
23.58,35,0,1,0,5,0.994,,,,,,1,,,,,0.5,0.5,,,1,1,
22.836,17.5,0,1,0,6,0.721,,,,,,1,,,,,0.5,0.5,,,1,1,
49.684,20,0,1,0,5,1.898,,,,,,1,,,,,0.5,0.5,1,,,1,
17.229,30,0,1,0,4,8.336,,,,1,,,,,,,0.5,0.5,1,,,0.5,0.5
39.543,50,0,1,0,5,2.914,,,,1,,,,,,,,1,1,,,0.67,0.33
13.668,1750,0,1,0,2,145.6237,1,,,,,,,,,,,1,1,,,1,
11.881,40,0,1,0,3,0.4463,,,0.25,,0.75,,,,1,,,,1,,,1,
13.712,80,0,1,0,3,0.406,,,0.25,,0.75,,,,1,,,,0.5,,0.5,0.67,0.33
15.402,2000,0,0,1,3,14.375,1,,,,,,,,,,,1,1,,,0.5,0.5
9.843,20,1,0,0,7,1.098,,,0.5,0.5,,,,,0.5,,,0.5,1,,,0.67,0.33
17.4445,42.5,0,1,0,3,0.1204,,,,1,,,,,1,,,,0.5,,0.5,0.5,0.5
17.67,45,0,1,0,4,0.155,,,,1,,,,,1,,,,1,,,1,
39.58,20,0,1,0,4,0.3436,,,,1,,,,,1,,,,1,,,0.5,0.5
39.58,10,0,1,0,4,0.0697,,,,1,,,,,1,,,,0.5,,0.5,0.5,0.5
,,,,,,,,,,1,,,,,1,,,,1,,,,
24.4675,60,0,1,0,5,0.3897,,,,1,,,,,1,,,,1,,,0.5,0.5
53.40633333,7.5,1,0,0,2,0.0777,,,,,,1,,,0.5,,,0.5,1,,,1,
30.3585,35,0,0,1,3,0.0613,,,,0.5,0.5,,,,0.5,,,0.5,1,,,1,
16.129,47.5,0,1,0,5,0.1147,,,,1,,,,,0.5,,,0.5,1,,,0.5,0.5
19.38833333,60,0,1,0,3,1.2777,,,,1,,,,,1,,,,1,,,0.67,0.33
126.782,45,0,1,0,6,6.418,,,,,,1,,,,,1,,0.5,,0.5,1,
16.907,15,1,0,0,2,6.1003,,,,,1,,,,1,,,,1,,,0.5,0.5
20.979,1500,0,1,0,1,11481,1,,,,,,,,,,,1,,1,,1,
6.725,450,0,1,0,1,8.5237,1,,,,,,,,,,,1,,1,,1,
6.725,500,0,1,0,1,15.1,1,,,,,,,,,,,1,,1,,1,
13.716,55,0,1,0,2,2.594,,,,1,,,,,1,,,,1,,,1,
17.5255,55,0,1,0,4,3.1367,,,,1,,,,,0.25,,,0.75,1,,,1,
9.532666667,17.5,0,0,1,3,1.0693,,,,,,1,,,1,,,,,0.75,0.25,1,
20.805,45,0,1,0,2,0.0777,,,,1,,,,,,,,1,,1,,0.5,0.5
10.709,35,0,1,0,2,0.1183,,,,1,,,,,,,,1,,1,,0.5,0.5
18.576,110,0,0,1,4,0.4823,,,,,,0.5,0.5,,1,,,,,,1,1,
33.05,12.5,1,0,0,2,0.477,,,,,,1,,,,,,1,0.5,,0.5,1,
51.716,25,1,0,0,4,0.648,,,,0.25,,0.75,,,,,,1,1,,,1,
23.695,60,0,1,0,2,24.1603,,,,,,1,,,,,0.5,0.5,0.5,,0.5,1,
,,,,,,,,,,,,,,,,,,,,,,,
29.117,35,0,1,0,7,1.2117,,,,1,,,,,1,,,,1,,,0.5,0.5
15.109,150,0,1,0,3,26.9808,1,,,,,,,,,,,1,1,,,1,
12.17066667,65,0,1,0,5,0.0893,,,,1,,,,,1,,,,1,,,0.5,0.5
13.412,40,0,1,0,6,1.2237,,,,1,,,,,,,,1,1,,,1,
19.374,50,0,1,0,3,0.8727,,,,1,,,,,,,,1,1,,,1,
17.148,55,0,1,0,4,1.188,,,,1,,,,,,,,1,1,,,0.5,0.5
17.09,65,0,1,0,3,10.0577,,,,1,,,,,,,,1,1,,,1,
18.99933333,22.5,0,1,0,5,1.2607,,,,1,,,,,,,0.5,0.5,1,,,0.67,0.33
21.82,12.5,1,0,0,3,0.722,,,,1,,,,,0.5,,,0.5,,1,,0.5,0.5
11.6,40,0,0,1,1,0.742,,,0.5,0.5,,,,,0.25,,,0.75,0.5,,0.5,1,
21.61333333,40,0,1,0,5,1.168,,,,1,,,,,,,,1,1,,,0.5,0.5
33.6475,15,0,1,0,5,1.1333,,,,,,0.5,0.5,,,,,1,0.5,,0.5,0.5,0.5
18.47933333,17.5,1,0,0,4,0.887,,,,,,1,,,,0.25,,0.75,1,,,1,
21.4195,70,0,1,0,3,0.5957,,,,1,,,,,,,,1,,1,,0.5,0.5
18.649,90,0,1,0,5,1.581,,,,,,0.5,0.5,,,0.25,,0.75,1,,,1,
18.063,65,0,1,0,5,1.4807,,,,,,0.5,0.5,,,0.25,,0.75,1,,,1,
11.7895,10,0,1,0,3,0.1047,,,0.5,0.5,,,,,0.5,,,0.5,1,,,1,
11.193,15,0,1,0,2,0.0787,,,,,,1,,,0.5,,,0.5,1,,,1,
21.047,55,0,1,0,3,0.6753,,,,1,,,,,0.5,,,0.5,,1,,0.67,0.33
16.1695,1250,0,1,0,1,1.5703,1,,,,,,,,,,,1,,1,,1,
25.92,50,0,1,0,2,5.666,,,,,1,,,,1,,,,1,,,0.5,0.5
24.945,22.5,1,0,0,2,2.5913,,,,,1,,,,1,,,,1,,,0.5,0.5
21.663,37.5,0,1,0,2,4.5707,,,,,1,,,,1,,,,0.5,,0.5,1,
48.971,15,1,0,0,2,0.1237,,,,,,1,,,0.5,,,0.5,1,,,1,
31.1865,12.5,1,0,0,2,0.1213,,,,,,1,,,,,,1,1,,,1,
23.895,70,0,1,0,3,0.55,,,0.25,0.75,,,,,,,,1,1,,,1,
13.72,25,0,0,1,3,0.2503,,,,,,1,,,0.5,,,0.5,1,,,1,
17.222,125,0,1,0,4,0.4557,,,,0.5,,,0.5,,,,,1,0.5,,0.5,1,
14.317,20,0,1,0,3,12.667,,,,1,,,,,,,,1,1,,,1,
24.074,45,0,0,1,2,4.991,,,0.5,0.5,,,,,,,0.5,0.5,1,,,0.5,0.5
20.203,45,0,1,0,4,4.086,,,,1,,,,,,,0.5,0.5,1,,,1,
12.767,42.5,0,1,0,3,4.0653,,,,1,,,,,,,,1,0.5,,0.5,1,
13.853,20,1,0,0,2,1.7473,,,,,1,,,,1,,,,1,,,0.33,0.67
24.061,1000,0,1,0,2,79.2515,1,,,,,,,,,,,1,1,,,0.67,0.33
29.502,3000,0,0,1,2,25.2,0.5,,,,,,,0.5,,,,1,1,,,0.67,0.33
19.157,500,1,0,0,2,2792,1,,,,,,,,,,,1,0.5,,0.5,1,
11.234,115,0,0,1,4,1.926,,,,1,,,,,,,,1,1,,,1,
8.45,100,0,0,1,2,6.286,,,,1,,,,,,,,1,1,,,1,
14.853,45,0,1,0,2,0.1517,,,,1,,,,,,,,1,,1,,0.67,0.33
10.7315,200,0,0,1,4,0.0383,,,,,1,,,,1,,,,,1,,0.33,0.67
22.9625,65,0,0,1,3,0.8073,,,,0.5,,,0.5,,1,,,,0.5,,0.5,1,
16.53366667,30,0,1,0,5,0.6653,,,,1,,,,,,,,1,1,,,1,
3.627,2000,0,1,0,2,7.823,1,,,,,,,,1,,,,,1,,1,
5.946,2750,0,1,0,1,6.973,1,,,,,,,,1,,,,,1,,1,
13.76766667,25,0,1,0,4,0.805,,,,,,1,,,0.5,,,0.5,,1,,1,
24.101,25,0,1,0,6,1.434,,,,1,,,,,,,,1,0.33,0.34,0.33,0.67,0.33
13.7585,40,0,1,0,2,0.1687,,,,1,,,,,,,,1,,1,,0.5,0.5
25.802,30,1,0,0,3,1.1073,,,,1,,,,,,,,1,,1,,0.5,0.5
20.388,30,1,0,0,4,0.0683,,,,1,,,,,,,,1,,0.5,0.5,0.5,0.5
30.488,75,0,1,0,3,0.1213,,,,1,,,,,,,,1,,1,,0.5,0.5
19.33266667,20,0,1,0,5,1.64,,,0.5,0.5,,,,,,,,1,1,,,1,
43.919,40,0,1,0,2,30.2965,,,,,1,,,,,,,1,0.5,,0.5,0.5,0.5
27.139,37.5,0,1,0,2,28.771,,,,,1,,,,,,,1,0.5,,0.5,0.5,0.5
17.31433333,10,0,0,1,3,1.0003,,,,,,1,,,,0.33,0.34,0.33,,,1,1,
10.4645,2250,1,0,0,2,0.5155,1,,,,,,,,1,,,,,1,,,1
,2250,1,0,0,1,1.04,1,,,,,,,,1,,,,,1,,,1
12.205,8.5,1,0,0,3,0.0603,,,,1,,,,,,,,1,1,,,0.5,0.5
,,,,,,,1,,,,,,,,,,,1,,,,,
20.133,175,1,0,0,1,205.3133,1,,,,,,,,,,,1,1,,,0.5,0.5
13.163,30,0,0,1,4,0.057,,,0.5,0.5,,,,,0.33,0.33,,0.34,1,,,0.33,0.67
8.807,1250,1,0,0,1,20.474,1,,,,,,,,,,,1,1,,,0.67,0.33
15.535,2250,1,0,0,2,4263,1,,,,,,,,,,,1,,1,,1,
9.833,650,0,1,0,1,633.7,1,,,,,,,,,,,1,,1,,1,
14.478,2250,0,1,0,1,5002.4,1,,,,,,,,,,,1,,1,,1,
16.1025,65,0,1,0,3,3.116,,,,1,,,,,0.5,,,0.5,1,,,0.5,0.5
11.358,300,0,1,0,2,18.2683,1,,,,,,,,,,,1,1,,,1,
17.75033333,27.5,0,1,0,4,1.065,,,,,,1,,,0.5,,,0.5,1,,,1,
12.224,150,1,0,0,2,2.951,1,,,,,,,,,,,1,1,,,1,
19.573,2250,0,1,0,2,22.603,1,,,,,,,,0.5,,,0.5,1,,,0.5,0.5
11.329,250,0,1,0,2,16.3997,1,,,,,,,,,,,1,0.5,,0.5,0.67,0.33
15.36,175,0,1,0,2,15.918,1,,,,,,,,,,,1,1,,,0.67,0.33
17.116,40,0,1,0,2,3.409,,0.5,,0.5,,,,,,,,1,1,,,0.5,0.5
20.306,20,1,0,0,3,0.317,,,,0.75,0.25,,,,,,,1,,1,,0.5,0.5
12.0765,65,1,0,0,2,0.1013,1,,,,,,,,0.5,,,0.5,1,,,0.5,0.5
14.03633333,35,0,0,1,3,2.399,,,,,,1,,,0.5,,0.5,,0.33,0.34,0.33,1,
17.09,35,0,1,0,5,2.0697,,,,1,,,,,,,,1,0.5,0.5,,0.67,0.33
45.76,450,0,1,0,2,1.914,1,,,,,,,,,,,1,0.5,,0.5,1,
20.3865,40,0,1,0,4,1.5997,,,,1,,,,,1,,,,1,,,0.5,0.5
21.1505,11.5,1,0,0,3,0.0047,,,,,,1,,,0.5,,,0.5,,,1,1,
14.6825,50,0,1,0,7,1.6287,,,,1,,,,,,,,1,1,,,1,
10.65633333,65,0,1,0,3,0.0843,,,,,1,,,,,,,1,,1,,0.5,0.5
21.87166667,35,0,1,0,2,10.2927,,,,,,1,,,,,,1,,1,,1,
21.28266667,45,0,1,0,5,3.6723,,,,1,,,,,1,,,,1,,,0.67,0.33
24.0285,5.5,0,1,0,2,0.1915,,,1,,,,,,0.33,0.34,0.33,,1,,,1,
21.16566667,35,1,0,0,3,0.1767,,,,,,0.5,0.5,,1,,,,1,,,1,
9.649333333,35,0,0,1,3,0.4723,,,,0.33,,0.34,0.33,,,,0.5,0.5,1,,,1,
34.5645,40,0,1,0,9,0.9697,,,,,,1,,,,,,1,,1,,1,
26.13466667,45,0,1,0,6,0.691,,,,,,0.5,0.5,,0.5,,,0.5,1,,,0.67,0.33
15.315,20,0,1,0,4,0.3077,,,,,,1,,,1,,,,1,,,1,
11.929,45,0,1,0,3,0.1643,,,,1,,,,,0.5,,,0.5,0.5,0.5,,1,
,,,,,,,,,,,,,,,,,,,,,,,
24.457,40,0,1,0,2,0.656,,,0.33,0.67,,,,,0.5,,,0.5,0.5,,0.5,1,
22.325,60,0,1,0,6,0.076,,,,,,0.5,0.5,,,,,1,1,,,1,
28.397,165,0,1,0,6,1.208,,0.25,0.75,,,,,,,,,1,1,,,0.5,0.5
12.613,60,0,0,1,4,0.4873,,,,1,,,,,1,,,,1,,,0.5,0.5
13.558,40,0,1,0,5,1.151,,,,1,,,,,,,,1,1,,,1,
69.136,21.5,1,0,0,12,0.3527,,,,,,0.5,0.5,,0.5,,,0.5,1,,,1,
12.537,60,0,1,0,2.5,11.0877,,,,1,,,,,0.5,,,0.5,,0.5,0.5,0.67,0.33
13.8115,52.5,0,0,1,3,0.1267,,,,1,,,,,0.5,,0.5,,0.5,,0.5,1,
20.22,14,,,,3,0.7463,,,,1,,,,,1,,,,1,,,1,
28.028,27.5,,,,8,0.5093,,,,1,,,,,1,,,,0.5,,0.5,1,
16.71,35,0,1,0,2,0.577,,,,1,,,,,1,,,,1,,,0.5,0.5
13.053,20,0,1,0,2,2.005,,,1,,,,,,1,,,,0.5,,0.5,0.5,0.5
12.13733333,20,0,1,0,3,4.2093,,,,0.5,,,0.5,,,,,1,0.5,,0.5,0.5,0.5
33.125,13.5,1,0,0,2,0.254,,,,,,1,,,0.33,0.33,,0.34,1,,,1,
19.5195,20,0,1,0,3,0.1703,,,1,,,,,,0.5,,,0.5,1,,,1,
20.5325,55,0,1,0,3,2.226,,,,,,1,,,,,,1,1,,,1,
22.451,75,0,1,0,4,1.4373,,,,,,0.5,0.5,,,,,1,1,,,1,
24.2115,40,0,1,0,2,6.5287,,,,,,,1,,1,,,,1,,,1,
16.282,50,0,0,1,3,4.686,,,,1,,,,,1,,,,1,,,1,
21.08,22.5,0,1,0,5,0.7527,,,,,,1,,,,,,1,,1,,1,
18.52833333,32.5,0,0,1,4,20.587,,,,,,1,,,,,,1,0.5,,0.5,1,
32.085,17.5,0,1,0,5,0.2817,,,,,,0.75,0.25,,0.5,,,0.5,0.5,,0.5,1,
26.8445,12.5,0,1,0,6,0.516,,,,1,,,,,,,,1,1,,,0.5,0.5
13.68,55,0,1,0,2,1.986,,,,1,,,,,,,0.5,0.5,1,,,1,
15.718,2500,1,0,0,2,7.9857,1,,,,,,,,1,,,,,1,,0.67,0.33
31.064,75,0,1,0,6,0.1583,,,,1,,,,,0.5,,,0.5,,1,,0.5,0.5
11.697,85,0,1,0,5,0.0563,,,,,,,1,,0.5,,,0.5,1,,,1,
36.82,22.5,1,0,0,3,0.0943,,,,,,1,,,,,,1,1,,,1,
22.655,35,0,1,0,3,0.1983,,,,1,,,,,,,,1,1,,,0.5,0.5
21.552,30,1,0,0,3,0.1977,,,0.5,0.5,,,,,,,,1,1,,,0.5,0.5
29.37733333,6,1,0,0,3,3.6047,,,,,,1,,,,,,1,1,,,1,
23.87,12.5,1,0,0,3,0.117,,,,,,1,,,,,,1,1,,,1,
17.2555,12.5,1,0,0,3,0.1137,,,1,,,,,,,,,1,0.5,,0.5,0.5,0.5
32.8125,12.5,1,0,0,3,0.351,,,,,,1,,,,,,1,1,,,1,
28.38366667,25,0,1,0,4,11.0943,,,,,,1,,,,,0.5,0.5,1,,,1,
15.379,37.5,0,1,0,4,3.4903,,,,,,1,,,,,0.5,0.5,0.5,,0.5,1,
22.692,55,0,1,0,3,24.347,,,,0.34,,0.33,0.33,,,,1,,1,,,1,
23.893,7.5,1,0,0,2,7.925,,,,1,,,,,,,,1,1,,,0.5,0.5
21.626,50,0,1,0,4,6.477,,,,1,,,,,1,,,,1,,,0.5,0.5
36.79433333,12.5,1,0,0,8,0.599,,,,,,1,,,,,0.5,0.5,1,,,1,
12.858,8.5,1,0,0,3,3.16,,,,1,,,,,,,,1,1,,,0.5,0.5
16.593,4,1,0,0,2,0.9105,,,,1,,,,,,,,1,0.75,,0.25,1,
14.115,3000,0,1,0,2,31,0.5,,,,,,,0.5,,,,1,0.33,0.34,0.33,1,
